Town,Inhabitants,y_lat,x_lon,node_id
Almamellék,413.0,46.18334005500003,17.87929500000007,354870248
Almásfüzitő,2052.0,47.73116500000003,18.24449609900006,2465849431
Almásháza,78.0,46.8496208347599,17.05785018655417,1678213314
Almáskamarás,787.0,46.46406000000007,21.07551611600007,734327159
Almáskeresztúr,87.0,46.12122321033692,17.90209750172159,356278152
Álmosd,1820.0,47.41851000000003,21.98032126900006,2081084151
Alsóberecki,728.0,48.34800967700005,21.70004500000005,740532487
Alsóbogát,251.0,46.51115765410014,17.75248943638228,1660573551
Alsódobsza,283.0,48.16789500000004,21.00970432100007,12382399131
Alsógagy,84.0,48.40439792184485,21.02141987430717,713273970
Alsómocsolád,289.0,46.30766500000004,18.23854515900007,11378537374
Alsónána,704.0,46.25589928900007,18.66154500100004,410504467
Alsónémedi,5742.0,47.30682470400006,19.17344000000003,262069327
Alsónemesapáti,661.0,46.84012000000007,16.93180979700003,704267135
Alsónyék,697.0,46.20843500000007,18.75630837700004,944929101
Alsóörs,2050.0,46.99847292300007,17.97844000100002,467080258
Alsópáhok,1575.0,46.75766773600003,17.16874500000006,1150045223
Alsópetény,593.0,47.87252500000005,19.23446420900007,6512197203
Alsórajk,338.0,46.65646517576174,17.0066290853104,2801621454
Alsóregmec,203.0,48.45397113684929,21.61593868567975,740699373
Alsószenterzsébet,45.0,46.74392165392555,16.46230442639709,2450984200
Alsószentiván,551.0,46.79055500000004,18.74375117200003,706650274
Alsószentmárton,1216.0,45.78653469500006,18.30259500000005,410453053
Alsószölnök,368.0,46.9177089695975,16.19465870847982,2450613216
Alsószuha,417.0,48.36545398697962,20.51725177989555,533866987
Alsótelekes,144.0,48.41054599482116,20.65594597329275,2804188470
Alsótold,233.0,47.95565500000004,19.59578730000004,2673581823
Alsóújlak,575.0,47.07576000000006,16.85153306300003,2802286365
Alsóvadász,1585.0,48.24051500000007,20.89605601500006,1241077743
Alsózsolca,5678.0,48.07366500000006,20.91409928800005,927885346
Ambrózfalva,475.0,46.34819000000005,20.72071941300004,2418880088
Anarcs,1972.0,48.17903100900003,22.11163500000004,415592333
Andocs,1032.0,46.65547000000004,17.89638860000002,1112013624
Andornaktálya,2726.0,47.85031500000008,20.40281512100006,8412302030
Andrásfa,241.0,46.96374000000003,16.79911396800003,347301250
Annavölgy,931.0,47.69201000000004,18.66139802500004,1860281268
Apácatorna,180.0,47.10528807742061,17.29524738662961,298019294
Apagy,2358.0,47.95240814800007,21.92478500000004,3817901482
Apaj,1167.0,47.13179271500007,19.11958000100003,1185832648
Aparhant,988.0,46.34595500000006,18.46692558600006,411310162
Apátfalva,3030.0,46.21085000000005,20.60104236000006,2881388279
Apátistvánfalva,404.0,46.89488359100005,16.24920500000007,2461321480
Apátvarasd,124.0,46.19177706509812,18.47016746931707,309999153
Apc,2471.0,47.79641000100003,19.67818885200006,1804141344
Áporka,1298.0,47.22829500000006,19.00361728500008,367092359
Apostag,2158.0,46.87148500100005,18.97989179400003,16615302
Aranyosapáti,2187.0,48.20559500000007,22.25991295100005,2054741224
Aranyosgadány,375.0,46.00280136844859,18.1272007389819,18330722
Arka,69.0,48.35805942509157,21.24150602017983,8042800675
Arló,3680.0,48.15798500100004,20.28404503200005,2943899512
Arnót,2401.0,48.15062000100005,20.87531248500005,9311264940
Ároktő,1125.0,47.73707000000007,20.93240445600003,737273915
Árpádhalom,424.0,46.61709787300003,20.53823500000004,2420237859
Árpás,280.0,47.51960613800003,17.37853000000007,1000660823
Ártánd,708.0,47.13633985600006,21.77424901600006,130406988
Ásotthalom,4036.0,46.18973000000005,19.76969515600007,411800435
Ásványráró,2273.0,47.82317000000006,17.51853563700007,3553795752
Aszaló,1866.0,48.22009500000007,20.97055969000007,12520143496
Ászár,1724.0,47.51858500000003,18.00235716600002,5730725756
Aszód,6241.0,47.66621733700003,19.47850000000005,10766230511
Aszófő,499.0,46.93272500000006,17.83104637700006,265449473
Áta,189.0,45.93826474968089,18.28860980760316,1289263841
Átány,1570.0,47.62025000100004,20.35905668300006,416423378
